OpenVR.Input.GetSkeletalReferenceTransforms(action.handle, EVRSkeletalTransformSpace.Parent, EVRSkeletalReferencePose.OpenHand, refBoneTransforms);
i,x,y,z,qx,qy,qz,qw
18,0.04033121,9.449958E-08,2.273692E-08,0.001594581,0.001967446,0.7474487,0.6643147
19,0.02848878,-1.011526E-07,-4.549359E-08,-0.002784442,-0.003234207,0.7790418,0.6269575
20,0.02243024,-1.084613E-07,1.742856E-08,6.938894E-18,0,0,1
21,0.001131457,-0.01929451,0.01542875,0.4778328,-0.6301982,0.3799345,0.4797663
22,0.0628784,0.002844095,0.0003315112,0.03428218,0.003439628,0.5611438,0.8270009
23,0.02987425,3.424764E-08,9.126629E-08,-0.006715541,-0.009289163,0.7119026,0.7021846
24,0.01797869,2.844892E-09,2.079751E-07,0.007955509,0.009917274,0.7360089,0.6768525
25,0.01801794,2.00012E-08,-6.59746E-08,-7.222237E-35,-1.387779E-17,-5.20417E-18,1
26,0.01971631,0.002801723,0.09393694,-0.5408307,0.1504462,-0.7365619,0.3772859
27,0.0001707166,0.01647311,0.09651526,0.02274707,-0.9329274,-0.3592871,-0.006456242
28,0.0004479717,0.001536413,0.1165434,0.1051425,-0.9288331,-0.3530795,-0.03935703
29,0.003948652,-0.01486879,0.1306075,0.06869533,-0.9440162,-0.3179332,-0.05507131
30,0.003262603,-0.03468513,0.1399258,-0.1007414,-0.9573313,-0.2701486,0.01969014

OpenVR.Input.GetSkeletalReferenceTransforms(action.handle, EVRSkeletalTransformSpace.Model, EVRSkeletalReferencePose.Fist, refBoneTransforms);
i,x,y,z,qx,qy,qz,qw
0,0,0,0,-6.123234E-17,-3.749399E-33,6.123234E-17,1
1,0.03403769,0.03650266,0.1647216,0.07860815,-0.9202793,0.3792963,0.05514664
2,0.01215346,0.04151276,0.1357994,0.1753387,0.4743503,-0.03438777,-0.8620125
3,-0.009973643,0.03239596,0.1032431,-0.3738797,-0.4190957,0.4177901,0.7141597
4,-0.01971631,0.002801742,0.09393693,-0.5408306,-0.1504465,0.7365618,0.377286
5,-0.01574655,-0.01908731,0.1147494,-0.5408306,-0.1504465,0.7365618,0.377286
